artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
The Score,2xVyWv5f31wI37XeYbXjWJ,Bulletproof (with XYLØ),0.548,0.714,2,-6.207,1,0.086,0.0117,0.0,0.132,0.533,77.683,65,modern_alternative_rock pov:_indie,49,"['modern_alternative_rock', 'pov:_indie']",low,Neutral
Three Days Grace,7piw04hPQZ1OHZ9Fq9JOXR,Time of Dying,0.306,0.873,0,-3.668,0,0.0567,0.00105,0.0,0.52,0.452,198.387,72,alternative_metal canadian_metal canadian_rock nu_metal post-grunge rock,67,"['alternative_metal', 'canadian_metal', 'canadian_rock', 'nu_metal', 'post-grunge', 'rock']",low,Neutral
for KING & COUNTRY,4ElNxglBjcrASiGn58t9Jm,God Only Knows,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,63,ccm christian_alternative_rock christian_indie christian_music world_worship,67,"['ccm', 'christian_alternative_rock', 'christian_indie', 'christian_music', 'world_worship']",high,Neutral
Skillet,6rSuL1ViLO7Aljn2WD09s4,Whispers in the Dark,0.509,0.938,11,-3.883,0,0.0715,0.000644,0.00246,0.14,0.335,94.019,70,alternative_metal christian_alternative_rock christian_music christian_rock,67,"['alternative_metal', 'christian_alternative_rock', 'christian_music', 'christian_rock']",high,Negative
The Score,3LBLmC8gqvt1l43kdpx43w,Enemies,0.555,0.832,4,-5.96,0,0.0323,0.00967,2.94e-05,0.132,0.3,155.061,65,modern_alternative_rock pov:_indie,59,"['modern_alternative_rock', 'pov:_indie']",low,Neutral
Gece,1oFnf7O5pRtgTt1U6cBxHl,22,0.351,0.794,0,-4.417,1,0.0355,0.0022,2.06e-06,0.0846,0.338,67.469,38,turkish_alternative turkish_alternative_rock turkish_pop turkish_rock,36,"['turkish_alternative', 'turkish_alternative_rock', 'turkish_pop', 'turkish_rock']",low,Neutral
Red Hot Chili Peppers,5axys0aO71B1dZDfnrxHvy,Carry Me Home,0.481,0.715,11,-7.14,1,0.0661,0.023,0.00213,0.181,0.222,131.452,80,alternative_rock funk_metal funk_rock permanent_wave rock,46,"['alternative_rock', 'funk_metal', 'funk_rock', 'permanent_wave', 'rock']",low,Neutral
Red Hot Chili Peppers,4cvngM7l4dOwldWzMOEP6c,La La La La La La La La,0.426,0.217,9,-15.564,0,0.0401,0.895,9.89e-05,0.0867,0.179,128.22,80,alternative_rock funk_metal funk_rock permanent_wave rock,42,"['alternative_rock', 'funk_metal', 'funk_rock', 'permanent_wave', 'rock']",low,Neutral
grandson,3JyvSSU0VnlMUsQckyEVfX,Darkside,0.497,0.701,7,-6.834,1,0.119,0.000568,0.000287,0.352,0.18,76.918,62,modern_alternative_rock modern_rock pov:_indie rock,58,"['modern_alternative_rock', 'modern_rock', 'pov:_indie', 'rock']",low,Neutral
Nirvana,2mvffzYUJ9Ld9xhsF5DUjU,In Bloom,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,79,grunge permanent_wave rock,69,"['grunge', 'permanent_wave', 'rock']",low,Neutral
Red Hot Chili Peppers,4diMr8l7HCK1OdrQM3LAzq,Afterlife,0.561,0.866,2,-5.258,0,0.0352,0.00623,0.039,0.0414,0.824,93.104,80,alternative_rock funk_metal funk_rock permanent_wave rock,46,"['alternative_rock', 'funk_metal', 'funk_rock', 'permanent_wave', 'rock']",low,Neutral
TOOL,1lATXTBJDHwawvT1UfxWu3,The Pot,0.469,0.79,7,-6.889,1,0.0391,0.000148,0.372,0.282,0.466,107.45,67,alternative_metal art_rock nu_metal post-grunge progressive_metal progressive_rock rock,69,"['alternative_metal', 'art_rock', 'nu_metal', 'post-grunge', 'progressive_metal', 'progressive_rock', 'rock']",low,Neutral
Fountains Of Wayne,27L8sESb3KR79asDUBu8nW,Stacy's Mom,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,55,pop_rock power_pop,74,"['pop_rock', 'power_pop']",low,Neutral
Red Hot Chili Peppers,1d6zb2JQZt9LpxOwU1E3y4,Handful,0.572,0.601,11,-6.879,0,0.0392,0.0123,0.000237,0.101,0.552,142.258,80,alternative_rock funk_metal funk_rock permanent_wave rock,44,"['alternative_rock', 'funk_metal', 'funk_rock', 'permanent_wave', 'rock']",low,Neutral
Red Hot Chili Peppers,1TmBaKkDUu0akM9xzSxRia,Bag of Grins,0.486,0.812,0,-6.244,1,0.0553,0.0106,0.0116,0.201,0.303,112.648,80,alternative_rock funk_metal funk_rock permanent_wave rock,44,"['alternative_rock', 'funk_metal', 'funk_rock', 'permanent_wave', 'rock']",low,Neutral
Red Hot Chili Peppers,2AHctrKhJekyp7wIykP83U,Shoot Me a Smile,0.576,0.798,9,-6.691,0,0.0351,0.125,0.134,0.137,0.399,146.8,80,alternative_rock funk_metal funk_rock permanent_wave rock,45,"['alternative_rock', 'funk_metal', 'funk_rock', 'permanent_wave', 'rock']",low,Positive
Ratones Paranoicos,0jwIgZRcbW2VjYuCbhKnX5,La Nave,0.67,0.896,8,-6.069,0,0.057,0.382,0.0201,0.233,0.787,115.4,48,argentine_rock,43,['argentine_rock'],low,Neutral
